[HIGHEST OVERHEAD] SHIPPING EXPENSE: 24.56%
[CASH DEFICIT] DAY: 1, AMOUNT: USD12600
[CASH DEFICIT] DAY: 2, AMOUNT: USD202820
[CASH DEFICIT] DAY: 3, AMOUNT: USD1758126
[CASH DEFICIT] DAY: 4, AMOUNT: USD1351348
[CASH DEFICIT] DAY: 5, AMOUNT: USD3202
[CASH DEFICIT] DAY: 7, AMOUNT: USD42049
[CASH DEFICIT] DAY: 12, AMOUNT: USD91728
[CASH DEFICIT] DAY: 15, AMOUNT: USD149129
[CASH DEFICIT] DAY: 16, AMOUNT: USD211238
[CASH DEFICIT] DAY: 19, AMOUNT: USD249271
[CASH DEFICIT] DAY: 22, AMOUNT: USD450474
[CASH DEFICIT] DAY: 23, AMOUNT: USD958635
[CASH DEFICIT] DAY: 24, AMOUNT: USD9884
[CASH DEFICIT] DAY: 27, AMOUNT: USD97848
[CASH DEFICIT] DAY: 28, AMOUNT: USD57053
[CASH DEFICIT] DAY: 32, AMOUNT: USD37604
[CASH DEFICIT] DAY: 33, AMOUNT: USD926980
[CASH DEFICIT] DAY: 35, AMOUNT: USD51169
[CASH DEFICIT] DAY: 36, AMOUNT: USD18033
[CASH DEFICIT] DAY: 37, AMOUNT: USD126974
[CASH DEFICIT] DAY: 38, AMOUNT: USD185594
[CASH DEFICIT] DAY: 40, AMOUNT: USD100154
[CASH DEFICIT] DAY: 45, AMOUNT: USD1107546
[CASH DEFICIT] DAY: 47, AMOUNT: USD33494
[CASH DEFICIT] DAY: 48, AMOUNT: USD765
[CASH DEFICIT] DAY: 50, AMOUNT: USD68778
[CASH DEFICIT] DAY: 51, AMOUNT: USD6680
[CASH DEFICIT] DAY: 53, AMOUNT: USD242837
[CASH DEFICIT] DAY: 54, AMOUNT: USD272354
[CASH DEFICIT] DAY: 56, AMOUNT: USD396546
[CASH DEFICIT] DAY: 58, AMOUNT: USD3527
[CASH DEFICIT] DAY: 59, AMOUNT: USD144616
[CASH DEFICIT] DAY: 60, AMOUNT: USD66882
[CASH DEFICIT] DAY: 63, AMOUNT: USD238225
[CASH DEFICIT] DAY: 64, AMOUNT: USD54814
[CASH DEFICIT] DAY: 68, AMOUNT: USD538707
[CASH DEFICIT] DAY: 71, AMOUNT: USD2062156
[CASH DEFICIT] DAY: 75, AMOUNT: USD179059
[CASH DEFICIT] DAY: 76, AMOUNT: USD919063
[CASH DEFICIT] DAY: 83, AMOUNT: USD1002914
[CASH DEFICIT] DAY: 84, AMOUNT: USD667123
[CASH DEFICIT] DAY: 85, AMOUNT: USD187741
[CASH DEFICIT] DAY: 86, AMOUNT: USD42759
[PROFIT DEFICIT] DAY: 1, AMOUNT: USD12600
[PROFIT DEFICIT] DAY: 2, AMOUNT: USD202820
[PROFIT DEFICIT] DAY: 3, AMOUNT: USD107513
[PROFIT DEFICIT] DAY: 4, AMOUNT: USD148065
[PROFIT DEFICIT] DAY: 5, AMOUNT: USD83171
[PROFIT DEFICIT] DAY: 6, AMOUNT: USD31302
[PROFIT DEFICIT] DAY: 7, AMOUNT: USD123358
[PROFIT DEFICIT] DAY: 8, AMOUNT: USD15259
[PROFIT DEFICIT] DAY: 9, AMOUNT: USD28512
[PROFIT DEFICIT] DAY: 15, AMOUNT: USD9347
[PROFIT DEFICIT] DAY: 22, AMOUNT: USD27127
[PROFIT DEFICIT] DAY: 23, AMOUNT: USD11292
[PROFIT DEFICIT] DAY: 33, AMOUNT: USD129999
[PROFIT DEFICIT] DAY: 35, AMOUNT: USD155317
[PROFIT DEFICIT] DAY: 40, AMOUNT: USD192776
[PROFIT DEFICIT] DAY: 41, AMOUNT: USD392397
[PROFIT DEFICIT] DAY: 42, AMOUNT: USD64576
[PROFIT DEFICIT] DAY: 45, AMOUNT: USD105509
[PROFIT DEFICIT] DAY: 47, AMOUNT: USD139825
[PROFIT DEFICIT] DAY: 48, AMOUNT: USD81470
[PROFIT DEFICIT] DAY: 50, AMOUNT: USD150382
[PROFIT DEFICIT] DAY: 51, AMOUNT: USD86499
[PROFIT DEFICIT] DAY: 53, AMOUNT: USD144409
[PROFIT DEFICIT] DAY: 54, AMOUNT: USD402534
[PROFIT DEFICIT] DAY: 56, AMOUNT: USD123362
[PROFIT DEFICIT] DAY: 59, AMOUNT: USD28833
[PROFIT DEFICIT] DAY: 60, AMOUNT: USD139539
[PROFIT DEFICIT] DAY: 63, AMOUNT: USD197976
[PROFIT DEFICIT] DAY: 64, AMOUNT: USD127209
[PROFIT DEFICIT] DAY: 66, AMOUNT: USD1940
[PROFIT DEFICIT] DAY: 68, AMOUNT: USD51123
[PROFIT DEFICIT] DAY: 69, AMOUNT: USD7433
[PROFIT DEFICIT] DAY: 70, AMOUNT: USD23970
[PROFIT DEFICIT] DAY: 73, AMOUNT: USD17725
[PROFIT DEFICIT] DAY: 82, AMOUNT: USD55389
[PROFIT DEFICIT] DAY: 83, AMOUNT: USD62222
[PROFIT DEFICIT] DAY: 84, AMOUNT: USD54753
[PROFIT DEFICIT] DAY: 85, AMOUNT: USD541
[PROFIT DEFICIT] DAY: 86, AMOUNT: USD10092
[PROFIT DEFICIT] DAY: 88, AMOUNT: USD30528
[PROFIT DEFICIT] DAY: 89, AMOUNT: USD34056
