Day,Cash On Hand (Accumulated) (USD)
0,3500000
1,3487400
2,3284580
3,1526454
4,175106
5,171904
6,220352
7,178303
8,197051
9,297934
10,470499
11,610642
12,518914
13,533530
14,707035
15,557906
16,346668
17,426252
18,539358
19,290087
20,1215218
21,1467146
22,1016672
23,58037
24,48153
25,396936
26,551083
27,453235
28,396182
29,428530
30,565387
31,1252761
32,1215157
33,288177
34,581262
35,530093
36,512060
37,385086
38,199492
39,505845
40,405691
41,556431
42,646615
43,1531385
44,2748291
45,1640745
46,4132685
47,4099191
48,4098426
49,4241095
50,4172317
51,4165637
52,4791582
53,4548745
54,4276391
55,4815479
56,4418933
57,4619628
58,4616101
59,4471485
60,4404603
61,4630545
62,4819823
63,4581598
64,4526784
65,5022681
66,5077984
67,6054224
68,5515517
69,5562856
70,5591420
71,3529264
72,4058523
73,4088077
74,4525851
75,4346792
76,3427729
77,3826244
78,4755977
79,5711292
80,5969536
81,6191853
82,6238826
83,5235912
84,4568789
85,4381048
86,4338289
87,4869172
88,4935757
89,5042098
90,5467343
